timestamp	species	generation	reward	distance	food	breeding
1777608305.0788212	quadruped	0	67.51624357376897	77.52624357376898	0	0
1777608305.078838	quadruped	1	67.57148495231759	77.5814849523176	0	0
1777608305.0788438	quadruped	2	71.8097981339764	71.71979813397641	0	0
1777608305.078848	quadruped	3	73.70174850776544	73.61174850776545	0	0
1777608305.0788522	quadruped	4	65.68621755042979	75.6962175504298	0	0
1777608305.078856	quadruped	5	69.880824800177	69.790824800177	0	0
1777608305.07886	quadruped	6	73.95996229703917	73.86996229703918	0	0
1777608305.0788639	quadruped	7	69.98036620596282	69.89036620596283	0	0
1777608305.078868	quadruped	8	76.4387923994171	76.3487923994171	0	0
1777608305.078872	quadruped	9	77.79696965823278	77.7069696582328	0	0
1777608305.078876	quadruped	10	68.37282003030515	68.28282003030516	0	0
1777608305.07888	quadruped	11	76.01253430645663	75.92253430645664	0	0
1777608305.0788841	quadruped	12	75.82724935573162	75.73724935573163	0	0
1777608305.078888	quadruped	13	72.0929260818826	72.0029260818826	0	0
1777608305.078891	quadruped	14	78.48202349343326	78.39040291590389	0	0
1777608305.078895	quadruped	15	75.87224863636948	75.78224863636949	0	0
1777608305.078899	quadruped	16	77.76702008970751	77.67702008970753	0	0
1777608305.078903	quadruped	17	73.8355735199772	73.74557351997721	0	0
1777608305.0789068	quadruped	18	75.48568184758062	75.39568184758063	0	0
1777608305.0789099	quadruped	19	78.64705463233396	78.55705463233397	0	0
1777682540.248617	quadruped	0	68.27024535602683	78.28024535602684	0	0
1777682540.248631	quadruped	1	69.53356754372389	69.4435675437239	0	0
1777682540.248637	quadruped	2	52.334037000581525	62.34403700058152	0	0
1777682540.248641	quadruped	3	78.1850723704663	78.09507237046631	0	0
1777682540.248645	quadruped	4	76.05254370811019	75.9625437081102	0	0
1777682540.248648	quadruped	5	68.1604483962582	78.17044839625821	0	0
1777682540.248652	quadruped	6	73.29513685389618	73.20513685389619	0	0
1777682540.248655	quadruped	7	76.09613100874836	76.00613100874837	0	0
1777682540.248658	quadruped	8	78.17727410860068	78.0872741086007	0	0
1777682540.248661	quadruped	9	74.1591826067657	74.06918260676571	0	0
1777682540.248665	quadruped	10	78.22895554001147	78.13895554001148	0	0
1777682540.248669	quadruped	11	77.88339550318098	77.79339550318099	0	0
1777682540.248673	quadruped	12	57.726073488623825	57.63607348862382	0	0
1777682540.248677	quadruped	13	55.64188626251373	65.65188626251373	0	0
1777682540.248681	quadruped	14	78.03014899329916	77.94014899329918	0	0
1777682540.2486851	quadruped	15	64.37667028719058	64.28667028719059	0	0
1777682540.2486882	quadruped	16	76.10836568151561	76.01836568151562	0	0
1777682540.248692	quadruped	17	78.33084727148335	78.24084727148336	0	0
1777682540.2486951	quadruped	18	78.3512846291231	78.26128462912311	0	0
1777682540.248698	quadruped	19	76.63521088443515	76.54521088443516	0	0
